"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"PSMB2"	0	0.385410857335314	0.674	0.632	0	"basal"	"PSMB2"
"CCNI"	0	0.383796688390133	0.923	0.916	0	"basal"	"CCNI"
"TMBIM1"	0	0.381511477373969	0.46	0.368	0	"basal"	"TMBIM1"
"SHC1"	0	0.380171252176439	0.328	0.158	0	"basal"	"SHC1"
"TCP1"	0	0.376250355033492	0.649	0.616	0	"basal"	"TCP1"
"PPP1R12B"	0	0.37578818817324	0.172	0.078	0	"basal"	"PPP1R12B"
"USP31"	0	0.374432346854401	0.2	0.063	0	"basal"	"USP31"
"DFFA"	0	0.372383954049743	0.361	0.231	0	"basal"	"DFFA"
"MT1A"	0	0.37086024025421	0.208	0.057	0	"basal"	"MT1A"
"CKS1B"	0	0.36909589105154	0.534	0.455	0	"basal"	"CKS1B"
"ATP2B1"	0	0.368914884177703	0.312	0.155	0	"basal"	"ATP2B1"
"RGS16"	0	0.368621063427606	0.17	0.051	0	"basal"	"RGS16"
"PDPN"	0	0.368086907848078	0.207	0.014	0	"basal"	"PDPN"
"ADRB2"	0	0.367255234031061	0.127	0.036	0	"basal"	"ADRB2"
"JAG1"	0	0.366965720464619	0.243	0.058	0	"basal"	"JAG1"
"NPM3"	0	0.366183864547751	0.4	0.278	0	"basal"	"NPM3"
"KLC3"	0	0.366027128038832	0.269	0.141	0	"basal"	"KLC3"
"PSMA1"	0	0.365990396704597	0.716	0.719	0	"basal"	"PSMA1"
"PGAM1"	0	0.365852146848326	0.696	0.653	0	"basal"	"PGAM1"
"KDSR"	0	0.365675390165622	0.417	0.311	0	"basal"	"KDSR"
"MAGOH"	0	0.36545099032409	0.501	0.409	0	"basal"	"MAGOH"
"SYNPO2"	0	0.363413043414	0.167	0.024	0	"basal"	"SYNPO2"
"TPM4"	0	0.362636340656769	0.747	0.703	0	"basal"	"TPM4"
"EIF5"	0	0.359277888150502	0.675	0.641	0	"basal"	"EIF5"
"PNO1"	0	0.357910195680384	0.303	0.187	0	"basal"	"PNO1"
"BHLHE41"	0	0.357335341862334	0.257	0.107	0	"basal"	"BHLHE41"
"ABCC3"	0	0.356950913041074	0.314	0.169	0	"basal"	"ABCC3"
"NUDC"	0	0.356946012590927	0.71	0.697	0	"basal"	"NUDC"
"C12orf57"	0	0.356702612130553	0.75	0.753	0	"basal"	"C12orf57"
"TMEM147"	0	0.356193761362204	0.661	0.658	0	"basal"	"TMEM147"
"CCDC86"	0	0.355565025357748	0.269	0.103	0	"basal"	"CCDC86"
"KCNMB1"	0	0.354509910952058	0.184	0.013	0	"basal"	"KCNMB1"
"DUSP6"	0	0.353313746192226	0.232	0.096	0	"basal"	"DUSP6"
"LY6K"	0	0.352778398513055	0.242	0.098	0	"basal"	"LY6K"
"NDUFAF2"	0	0.352125532092496	0.449	0.353	0	"basal"	"NDUFAF2"
"FKBP11"	0	0.351921050695092	0.31	0.181	0	"basal"	"FKBP11"
"ILF3"	0	0.351868532336378	0.459	0.386	0	"basal"	"ILF3"
"PSMD7"	0	0.351423919742868	0.611	0.561	0	"basal"	"PSMD7"
"CDH3"	0	0.35136198666465	0.211	0.068	0	"basal"	"CDH3"
"PSMC5"	0	0.349935753370574	0.623	0.606	0	"basal"	"PSMC5"
"PTTG1"	0	0.349881448157895	0.201	0.045	0	"basal"	"PTTG1"
"STIP1"	0	0.348213351096018	0.424	0.33	0	"basal"	"STIP1"
"RNPS1"	0	0.347459705263997	0.626	0.594	0	"basal"	"RNPS1"
"CPNE1"	0	0.346717806468611	0.43	0.345	0	"basal"	"CPNE1"
"PPIB"	0	0.346009542763423	0.777	0.792	0	"basal"	"PPIB"
"PHB"	0	0.345314044636483	0.671	0.678	0	"basal"	"PHB"
"MFGE8"	0	0.34494139639729	0.503	0.344	0	"basal"	"MFGE8"
"ACTR3"	0	0.344607273458115	0.633	0.6	0	"basal"	"ACTR3"
"FAU"	0	0.343107585522284	0.993	0.987	0	"basal"	"FAU"
"HINT1"	0	0.342127931615032	0.92	0.929	0	"basal"	"HINT1"
"RRP9"	0	0.341722775441288	0.263	0.135	0	"basal"	"RRP9"
"ST5"	0	0.340286117082505	0.292	0.183	0	"basal"	"ST5"
"MYH11"	0	0.338704537096991	0.114	0.01	0	"basal"	"MYH11"
"HAS3"	0	0.337547131665494	0.14	0.005	0	"basal"	"HAS3"
"CDC37"	0	0.336075887044766	0.609	0.58	0	"basal"	"CDC37"
"MRPS17"	0	0.335966295487932	0.28	0.141	0	"basal"	"MRPS17"
"HADHB"	0	0.335903903030585	0.508	0.45	0	"basal"	"HADHB"
"UCHL1"	0	0.335772621860764	0.163	0.024	0	"basal"	"UCHL1"
"SELENOM"	0	0.335769764139593	0.876	0.805	0	"basal"	"SELENOM"
"SSRP1"	0	0.335535905902384	0.464	0.391	0	"basal"	"SSRP1"
"PDAP1"	0	0.335458619360226	0.62	0.596	0	"basal"	"PDAP1"
"MRPL12"	0	0.335452107805302	0.453	0.383	0	"basal"	"MRPL12"
"TNC"	0	0.334982943934359	0.213	0.069	0	"basal"	"TNC"
"RSL24D1"	0	0.334825354578392	0.827	0.825	0	"basal"	"RSL24D1"
"C8orf33"	0	0.33435822524832	0.395	0.284	0	"basal"	"C8orf33"
"PDLIM7"	0	0.334276938116511	0.326	0.21	0	"basal"	"PDLIM7"
"DDX18"	0	0.334003031185284	0.541	0.48	0	"basal"	"DDX18"
"SLC43A3"	0	0.333510477131551	0.321	0.184	0	"basal"	"SLC43A3"
"SLC16A1"	0	0.332931768682604	0.21	0.044	0	"basal"	"SLC16A1"
"CAP1"	0	0.332643132588779	0.658	0.629	0	"basal"	"CAP1"
"TACC1"	0	0.331484254641524	0.31	0.177	0	"basal"	"TACC1"
"MAP3K20"	0	0.329025834168539	0.334	0.209	0	"basal"	"MAP3K20"
"TNFRSF1A"	0	0.328926535018107	0.555	0.515	0	"basal"	"TNFRSF1A"
"GJA1"	0	0.328667251997575	0.166	0.03	0	"basal"	"GJA1"
"PSMB6"	0	0.328106261053298	0.714	0.714	0	"basal"	"PSMB6"
"BUD31"	0	0.328017446520553	0.646	0.615	0	"basal"	"BUD31"
"BOP1"	0	0.327458329730144	0.288	0.154	0	"basal"	"BOP1"
"RPS2"	0	0.327429390788547	0.999	0.998	0	"basal"	"RPS2"
"PSMD8"	0	0.32738670459858	0.706	0.708	0	"basal"	"PSMD8"
"IL4R"	0	0.327329627348483	0.264	0.148	0	"basal"	"IL4R"
"PHF5A"	0	0.326872949127875	0.429	0.347	0	"basal"	"PHF5A"
"REXO2"	0	0.326628692918607	0.539	0.48	0	"basal"	"REXO2"
"PPP1R14A"	0	0.326610453746603	0.155	0.011	0	"basal"	"PPP1R14A"
"SLC39A1"	0	0.326102050550694	0.598	0.57	0	"basal"	"SLC39A1"
"FLNA"	0	0.325369113903495	0.389	0.272	0	"basal"	"FLNA"
"SNRPE"	0	0.324616652620779	0.778	0.806	0	"basal"	"SNRPE"
"THOC6"	0	0.324232334223746	0.351	0.233	0	"basal"	"THOC6"
"SEMA3C"	0	0.323774282708411	0.224	0.117	0	"basal"	"SEMA3C"
"SPRY1"	0	0.323409750599834	0.21	0.082	0	"basal"	"SPRY1"
"CBR1"	0	0.321975191579173	0.346	0.232	0	"basal"	"CBR1"
"MRFAP1"	0	0.321709343540489	0.765	0.757	0	"basal"	"MRFAP1"
"CLDN11"	0	0.318793305118326	0.182	0.028	0	"basal"	"CLDN11"
"SRSF7"	0	0.318516180800233	0.663	0.642	0	"basal"	"SRSF7"
"TGFBR3"	0	0.317414356109029	0.176	0.031	0	"basal"	"TGFBR3"
"LHFPL6"	0	0.317214618062469	0.184	0.03	0	"basal"	"LHFPL6"
"BOD1"	0	0.317198946615746	0.446	0.351	0	"basal"	"BOD1"
"PTPRE"	0	0.317035206639262	0.271	0.145	0	"basal"	"PTPRE"
"LMOD1"	0	0.315829744712214	0.14	0.002	0	"basal"	"LMOD1"
"TMEM43"	0	0.314433912162982	0.293	0.171	0	"basal"	"TMEM43"
"IRX4"	0	0.313579039256868	0.187	0.01	0	"basal"	"IRX4"
"ISYNA1"	0	0.313523213760813	0.253	0.108	0	"basal"	"ISYNA1"
"HSPE1"	0	0.312157800100773	0.782	0.803	0	"basal"	"HSPE1"
"GRP"	0	0.311302133064296	0.103	0.003	0	"basal"	"GRP"
"MAOB"	0	0.310298212563592	0.159	0.029	0	"basal"	"MAOB"
"SNRPA1"	0	0.309537603179291	0.436	0.359	0	"basal"	"SNRPA1"
"SRSF2"	0	0.309351147049877	0.706	0.728	0	"basal"	"SRSF2"
"CCND2"	0	0.308893826727045	0.147	0.005	0	"basal"	"CCND2"
"MORF4L2"	0	0.308817031723765	0.755	0.76	0	"basal"	"MORF4L2"
"EIF4H"	0	0.307616190775336	0.639	0.633	0	"basal"	"EIF4H"
"WDR74"	0	0.307410056196577	0.349	0.248	0	"basal"	"WDR74"
"ANP32B"	0	0.307402100499432	0.637	0.64	0	"basal"	"ANP32B"
"RSL1D1"	0	0.307152009252272	0.691	0.686	0	"basal"	"RSL1D1"
"ITGA6"	0	0.306781352638441	0.203	0.071	0	"basal"	"ITGA6"
